,data_index,title,cluster
207,207,"United Airlines Buy MileagePlus Miles 25% – 100% Mystery Bonus December 6 – 19, 2016",8
208,208,"San Francisco to Mumbai $724 United, Delhi $737 Asiana Jan-April – Loyalty Traveler",0
209,209,"The 5 best airlines in the world, and none of them are based in the U.S.",1
210,210,"Bay Area airports, airlines add personnel to ease long waits",4
211,211,"UA, AA, DL open jaw fares to Southeast Asia. Two countries for less than ticket to one. – Loyalty Traveler",0
212,212,The BS of Emotional Support Animals,6
213,213,"Fare Alert United $550–$650 LAX/SFO to PEK, PVG, HKG, SIN, BKK, SGN, KUL, MNL – Loyalty Traveler",0
214,214,"Fare Alert United $398 round trip Boston to Hamburg Oct 15-29, $482 Aug 23-Oct 14 all dates; Delta/KLM $530 – Loyalty Traveler",0
215,215,A plane from London has been diverted after a bomb threat,0
216,216,"AA, DL, UA low fares to Europe from D.C. area airports – Loyalty Traveler",1
217,217,United flight attendants demonstrate worldwide for a contract,2
218,218,"Business Class Fare Alert Delta $1,500 EWR to Europe, many routes – Loyalty Traveler",1
219,219,How to Get A Seat on the Final United 747 Flights,2
220,220,Person Of Size (Obese Passenger) Spills Into My Seat – What To Do?,2
221,221,"LH Boston to Frankfurt $566, Munich $589, LX Zurich $542 with ticketing options for more miles – Loyalty Traveler",2
222,222,Turkish Airlines United Award Disaster– Who Is Responsible?,2
223,223,Star Alliance Fare Alert $586 round trip LAX to Dublin nonstop Sep-Aug 2017 – Loyalty Traveler,0
224,224,"Citing Farmers’ Almanac, United Airlines CEO is preparing for a harsh winter",2
225,225,"Routes: San Francisco, LAX, Houston, San Jose, New York, Washington, Chicago",2
226,226,Delta and United LAX or SFO-Athens $645-$675 round trip Jan-April 2016. Stay into summer – Loyalty Traveler,0
227,227,A Profile of United CEO Oscar Munoz,0
228,228,United Airlines Launches New Caribbean Flights,2
229,229,If You Hate OTA Cancellation Fees—Follow These Risk Free Tips,2
230,230,United Airlines To Phase Out International First Class,2
231,231,"Up to 1,500 Bonus Miles for Shopping Through These Online Portals!",8
232,232,Girl Scouts Learn About the Importance of Hand Hygiene on Global Handwashing Day,0
233,233,United Airlines LAX Miami $107 each way August dates – Loyalty Traveler,2
234,234,United Airlines Settles Labor Dispute With 13 Flight Attendants Fired In 2014 For Refusing To Work A Flight,2
235,235,McGill engineering prof clashes with United Airlines in court,2
236,236,7 General Tips to Help You Book Award Flights,2
237,237,United Airlines $425 San Francisco to Istanbul round trip; ATL-IST $442 – Loyalty Traveler,2
238,238,"American JFK-Milan $519 Aug-May, $723 July; DUB $558, Star Alliance matches – Loyalty Traveler",2
239,239,Flight attendant opens emergency slide and goes on a joyride for fun,0
240,240,United's 777-300ER inaugural now on sale,2
241,241,"United Newark EWR to Amsterdam $439, Brussels $443, Munich $490 Jan 11-March 31 – Loyalty Traveler",0
242,242,United Airlines Marriott Rewards RewardsPlus 50% Premier Qualifying Miles Promotion,8
243,243,United Airlines $73 each way LAX to New Orleans March to June 2016 – Loyalty Traveler,0
244,244,"Seating, meals and other considerations",2
245,245,United Airlines Tries To Shutdown Untied.com Parody & Customer Complaint Website,2
246,246,United Airlines Has an Absurd New Unaccompanied Minors Policy,2
247,247,United $58 one way LAX-Chicago or Houston Sep-Dec – Loyalty Traveler,2
248,248,United snubs my Gogo passes. Discover It Miles to the rescue,2
249,249,Updated: United Airlines Trick to Save $75 on Close-In Ticketing Fees Still Works,2
250,250,United SFO to Oslo $600 or Bergen $624 – Loyalty Traveler,2
251,251,Airline Updates: July 2016,2
252,252,Updates to United Expert Mode Plus,2
253,253,United Wants to Secure Your FF Account: Don't!,2
254,254,United Offering 25% Off Economy Awards To Europe,2
255,255,United SEA-MEL/SYD-LAX $391 round trip – Loyalty Traveler,0
256,256,United-SAS $587 LAX to Oslo April-May; $648 Aug-Sep – Loyalty Traveler,0
257,257,Delta Pilots Are Getting A 30%+ Pay Raise,1
258,258,How to Use AMEX Membership Rewards Points for United Airlines Award Tickets,8
259,259,Aviation Terrorist Attack Attorneys · Aviation Accidents · Napoli Shkolnik PLLC,0
260,260,UPDATE: Flights set to resume after COU closure for runway construction,0
261,261,Cheap Flights Next Spring: Chicago to Dublin for Just $449 RT on United Airlines,2
262,262,United Airlines BusinessFirst (Team USA),2
263,263,"AA/DL/UA/FI $423-$539 Xmas fares D.C. airports to London, Paris, Amsterdam, Germany or Jan-March 31 – Loyalty Traveler",1
264,264,Former NBC Producer Can’t BELIEVE The Sexist Thing She Just Heard Her Pilot Say On A Plane,0
265,265,"UA $95, AA $103 LAX to Miami each way April to June – Loyalty Traveler",2
266,266,Earning Miles by Joining Wine Clubs — Chardonn-Yea or Chardon-Nay?,2
267,267,How Do You Convert Miles & Points From Other Programs to United Airlines Miles?,8
268,268,United Airlines Bans Travelers From Viewing Pro-Life Web Site During In-Flight Internet Usage,2
269,269,"DL and UA $300 SFO to Liberia, Costa Rica – Loyalty Traveler",0
270,270,United Airlines Flight 882 NRT-ORD Canceled & Refused To Rebook,2
271,271,United Airlines Flight Slides Off Icy Taxiway at Spokane Airport,4
272,272,Shocking Orders This F-16 Pilot Received on 9/11Comes to Light,3
273,273,Empty Seats on Flights,0
274,274,"United SFO-HNL $310, American $327 round trip Jan to March 2016 – Loyalty Traveler",2
275,275,7 Customer Experience Tips for Differentiating Your Company,0
276,276,'I Flew Two Of The Aircraft Which Were Involved In 9/11',0
277,277,"Italy Airfare Deals - September 17, 2016",0
278,278,AA LHR-LAX 777-300ER Business Class using my first SWU upgrade – Loyalty Traveler,0
279,279,How to avoid getting the dreaded middle seat,0
280,280,"American and Delta $183 LAX to Vancouver YVR round trip, AA/UA $249 July – Loyalty Traveler",0
281,281,Cello Needs Visa To United States?,0
282,282,What's My Favorite Card for Beginners?,8
283,283,Bidding for Avianca Heats Up,1
284,284,How do I know my bag won't be stolen from the luggage carousel?,0
285,285,Rimowa's electronic luggage tag is the future of traveling,0
286,286,The Most Surprising Business Rivalries Of 2016,0
287,287,"United Miles for Dining, Club Carlson, Google Flights, Day Hikes",8
288,288,Google really wants you to hack its Chromebook,0
289,289,"EPIC! NY Firefighter Buried Alive On 9-11 Tells America Haters, “Buy A Ticket & Leave” – WATCH!",0
290,290,Woman stopped from boarding flight because British Airways demanded her cello have a visa,0
291,291,10 Amazing Reasons Why You Should Visit Guam,0
292,292,3 Tips to Receive an Airline Airfare Refund If You Have to Reschedule Your Trip,8
293,293,United Airlines to continue Cody-to-Denver flights,4
294,294,"Hack a Chromebook, Earn $100,000",0
295,295,The Ultimate Guide to American Airlines Upgrade Rules,0
296,296,Ever Wondered How to Purchase a Seat Upgrade? I'll Show You How!,0
297,297,"Tired of Long Security Lines? New TSA PreCheck Enrollment Centers, Get the Fee Refunded!",0
298,298,It’s Halfway Through 2016 And My Points & Miles Strategy Has Changed,8
299,299,Airedale Terrier Puppies for Sale Video,0
300,300,Airedale Terrier Puppies for Sale Video,0
301,301,How to Book United MileagePlus Award Tickets,2
302,302,How to Earn the Most Points From Your Airbnb Stays,8
303,303,Boeing Company Celebrates 100 Years of Aviation Greatness,5
304,304,"Award Miles Based On Spend, Elite Qualifying Dollars, Platinum Pro-Status Level & Upgrades Prioritized Based On EQD",8
305,305,Marriott Rewards & Starwood Preferred Guest (Unintended) Opportunities Due To Status Match & Linking,8
306,306,What Counts as Travel With This Small Business Card?,8
307,307,"American Airlines v Gogo in the Battle for Better, Cheaper Wifi",0
308,308,Senate Worried Over Suspension Of Flights By Foreign Airlines,0
309,309,Be the first to try American’s premium economy cabin,0
310,310,S & S Family Airedales -Aaliyah My Mommy Airedale!,0
311,311,"DOT Fines Alaska, United, American, Air Canada and Southwest For Incorrect Information & Compensation",0
312,312,United and American $68 to $88 SFO to Chicago one way Feb to May 2016 – Loyalty Traveler,2
313,313,Hillary's ABSOLUTE TRAIN WRECK Appearance At Military Forum,0
314,314,Singapore Airlines $626 Houston to Bali via UK – Loyalty Traveler,0
315,315,Cheap Flights from Baltimore to Huntsville,0
316,316,Why I Helped Draft State-Level Vulnerability Disclosure Legislation (Delaware SB 283),0
317,317,Carrie Fisher Heart Attack on Airplane to LAX Updates,0
318,318,What is Loyalty Fraud — And Can It Happen To Me?,0
319,319,How to Find Award Space Using the United Airlines Website,2
320,320,Beginner's Guide to Using Flexible Points for Big Travel With Small Money,8
321,321,Hot! $775+ Round-Trip to Australia From 5 Cities,0
322,322,Won't Last! $293 to $467 Round-Trip to Sweden From Chicago & Newark,0
323,323,LAX to London 5 airlines $505-$557 nonstop Jan-May – Loyalty Traveler,2
324,324,Homesick Son Returning From Military is Surprised by Dad Flying the Plane (Video),0
325,325,Turkish Airlines Partner Airline Award Redemption Ridiculousness?,0
326,326,Lee Raymond Net Worth & Bio/Wiki 2018,0
327,327,"New Routes: San Francisco, Los Angeles, Newark, JFK, San Diego",2
328,328,USA Fare War AA/UA DFW 10 cities $39 to $49 one way – Loyalty Traveler,0
329,329,"Star Alliance sale $600s Chicago and New York to Paris, Germany, Hungary, Poland Aug-Mar 2017 – Loyalty Traveler",0
330,330,"All alliances $587 to $650 LAX, SFO, SJC to Copenhagen, Oslo, Stockholm April-June – Loyalty Traveler",0
331,331,3 ways to save at stores that never have sales,0
332,332,Two U.S. airlines offer refunds to travelers to destinations with Zika virus outbreaks,2
333,333,"Ethiopian nonstop LAX to Dublin $681, earn 50% Mileage Plus miles – Loyalty Traveler",0
334,334,"Fare Alert United $292 round trip Newark EWR to Gothenburg, Sweden GOT Aug-Oct – Loyalty Traveler",0
335,335,Monarch's Shadow Airline Grows,0
336,336,Democratic Senator RIPS Into Airlines For Discriminating Against Muslims,2
337,337,Summer fare war to Ireland Delta and United $509 to $582 many U.S. hubs – Loyalty Traveler,1
338,338,"""Half of My Travel Adventures Begin With Me Getting Lost""",0
339,339,8 Worst Mistakes With Customer Experience,0
340,340,Air Canada Altitude Qualifying Dollars 50% Reduction For Members Outside Of Canada,3
341,341,Open-Jaw from U.S. to Southeast Asia from $365 Return,0
342,342,Three thoughts on today's Delta systems outage,1
343,343,5 Weird Trading Rituals,0
344,344,"Atlanta to Europe $477-$692 AA, DL, UA Aug-Mar 2017 Fare Roundup – Loyalty Traveler",0
345,345,United Airlines Pilot Surprises Son on His Plane Home From Deployment,0
346,346,11½ ways to be a more congenial air traveller,0
347,347,Flight Attendant Intentionally Deploys Slide at Airport,4
348,348,"Cheap Flights: Chicago to Dublin, Ireland for $502 RT on United",0
349,349,Google Nearby for Android will show apps and webpages relevant to what's around you,0
350,350,AA/DL/UA/FI $511-$613 Portland PDX to London Nov-Dec – Loyalty Traveler,0
351,351,Google’s Nearby Connects Your Device to the World Around You,0
352,352,Measure Emotions In Customer Experiences To Improve Loyalty,0
353,353,Free Content • Suggestions For Successful Wave Photography,0
354,354,A Flight Attendant Apparently Had Enough of Waiting to Get off the Plane and Jumped out the Emergency Exit Slide,0
355,355,How F-16 Fighter Pilot Tried To Stop 9/11 By Sacrificing Her Own Life,0
356,356,How to Book Award Tickets with ANA Mileage Club,0
357,357,Statement from Rona Ambrose on 15th anniversary of 9/11 and the National Day of Service,0
358,358,"United Airlines IHG Rewards Club Points To Miles 50% Conversion Bonus September 10 – October 10, 2016",8
359,359,"Hack Apple, get paid -- by Apple",0
360,360,Airline Ticket Rules,2
361,361,Dispatches from the Republican National Convention – Center for Public Integrity,0
362,362,"Father killed his 14-year-old because he ""would rather have a dead son than a gay son,"" former foster mother says",0
363,363,Brisbane to Vancouver Economy Class Review,3
364,364,Vigor in the Heartland,0
365,365,"Meet Lonzo Ball's agent ... (no, it's not LaVar)",0
366,366,Nigeria’s unemployment problem is showing no signs of slowing down,0
367,367,30 Harrowing Pictures From The 9/11 Terrorist Attacks,0
368,368,Delta brings back free meals for economy class on coast-to-coast flights,1
369,369,"Whose armrest is it, anyway? The unspoken etiquette of airline, bus and train travel.",2
370,370,Simon the Giant Rabbit Dies After United Airlines Flight to O'Hare,4
371,371,Can You Prove Your Innocence Without DNA?,0
372,372,This Feature Lets You Monitor Mentions of Your Brand,0
373,373,Achieving multi-dimensional financial planning,2
374,374,"Chrissy Teigen, Sarah Silverman and Other Celebrities Slammed United's Anti-Leggings Dress Code",0
375,375,"In latest customer relations failure, Delta Air Lines kicks a family off a flight",1
376,376,The low-cost airline you’ve never heard of (and why it’s coming to Birmingham),0
377,377,The Name Behind The Special Agent,0
378,378,Airline Customer Satisfaction Survey Ranks Canadian Carriers Near Bottom,3
379,379,Boeing 747s to retro flight attendants to A380s,2
380,380,This Is the First Website You Should Visit Before Traveling With a Pet,0
381,381,"Does Customer Experience fail due to design, culture, strategy, or … the “Q-word?”",0
382,382,83% Of America's Top High School Science Students Are The Children Of Immigrants,0
383,383,Emotional Support or Sham?,6
384,384,China’s biggest airline bans shark fin cargo,0
385,385,United cancels flights to the city on air quality concerns,2
386,386,Low clouds overnight with spotty drizzle,0
387,387,Low clouds overnight with spotty drizzle,0
388,388,31 cool aviation pics,0
389,389,United Follows JetBlue in Raising Checked Baggage Fees,0
390,390,PR Lessons for Healthcare Professionals: United Airlines,2
391,391,A Veteran Washington Player on Why Businesses Are Getting So Political,0
392,392,FBI charges man who tried to open door on China-bound Delta flight,4
393,393,John Kennedy (Louisiana politician),0
394,394,Why the Plane You Fly Matters on Westbound Transcon Flights,0
395,395,Oregon woman blames United Airlines for dog's death,0
396,396,9/11 Twin Towers developer wins lawsuit against airline,0
397,397,ViaSat's shares jump on successful satellite launch,0
398,398,"Puerto Ricans are suffering. Your fellow Americans need help, not a lecture",0
399,399,7 Smart Ways to Increase Brand Awareness for Your Business,0
400,400,How to run a roadside dosa business (and make it big),0
401,401,Does Airport Privatization Have a Future in the U.S.?,4
402,402,Service Review: Get Compensated for Airline Mistakes (Even Past Flights),2
403,403,What is Nathan Chen's net worth? He probably makes over six figures from figure skating,0
404,404,Ann Coulter had to switch seats on a Delta flight. Then came the tirade.,0
405,405,"Hello Kitty jets; United, Frontier, Delta and more",1
